Country,ISO,Year,TFR,"Marriage Rate (per 1,000)",Female LFPR (%),Tertiary Enrolment (%),House Price Index,Median Income (LCU),Real Income Index (2004=1),PIR [Computed],CPI (2010=100),CPI Indexed (2004=100),GNI per Capita (USD),GDP per Capita (USD),ln(GDP per Capita),Urban Pop (%),Policy Spending (% GDP)
Indonesia,IDN,2004,2.415,9.47,49.04,16.18,100,5239116,1,1,71.2,100,1060,1127,7.027,45.45,0.1
Indonesia,IDN,2005,2.452,9.68,48.09,16.7,89.93,5719008,0.9848,0.9132,78.92,110.84,1200,1238,7.121,46.24,0.1
Indonesia,IDN,2006,2.457,9.71,48.1,16.77,80.68,6352788,0.9992,0.8074,86.4,121.35,1350,1558,7.351,47,0.11
Indonesia,IDN,2007,2.476,9.7,52,17.58,78.98,6946824,1.0303,0.7666,91.63,128.69,1570,1823,7.508,47.74,0.12
Indonesia,IDN,2008,2.44,9.39,52.66,20.52,75.26,7674432,1.0467,0.719,99.64,139.94,1900,2125,7.661,48.46,0.12
Indonesia,IDN,2009,2.442,9.26,52.47,22.69,73.81,8430924,1.1369,0.6492,100.78,141.54,2110,2218,7.705,49.17,0.13
Indonesia,IDN,2010,2.462,9.1,53.19,23.42,66.61,9358152,1.2718,0.5237,100,140.45,2490,3066,8.028,49.85,0.14
Indonesia,IDN,2011,2.515,9.45,53.49,25.03,68.57,10353564,1.3355,0.5134,105.36,147.98,2960,3579,8.183,50.48,0.14
Indonesia,IDN,2012,2.514,9.21,54.07,29.04,73.95,11811216,1.4562,0.5078,110.23,154.82,3520,3632,8.198,51.16,0.15
Indonesia,IDN,2013,2.441,8.8,53.22,29.89,77.74,13302516,1.5539,0.5003,116.34,163.4,3670,3567,8.179,51.83,0.16
Indonesia,IDN,2014,2.393,8.43,53.07,29.99,77.05,14441820,1.5806,0.4875,124.17,174.4,3570,3441,8.144,52.5,0.17
Indonesia,IDN,2015,2.346,7.58,53.17,32.46,74.81,15713784,1.6473,0.4541,129.64,182.08,3390,3288,8.098,53.17,0.18
Indonesia,IDN,2016,2.311,7.51,53.39,34.83,74.87,16798740,1.7197,0.4354,132.75,186.45,3370,3521,8.167,53.81,0.19
Indonesia,IDN,2017,2.253,7.61,54.33,35.97,74.61,17926716,1.7903,0.4167,136.08,191.12,3490,3799,8.242,54.45,0.2
Indonesia,IDN,2018,2.219,7.55,55.57,36.15,74.15,19128612,1.8479,0.4013,140.68,197.58,3810,3861,8.259,55.1,0.21
Indonesia,IDN,2019,2.205,7.28,56.3,37.32,73.51,20884584,1.9783,0.3716,143.47,201.5,4020,4107,8.32,55.74,0.25
Indonesia,IDN,2020,2.189,6.55,55.47,38.17,73.21,20135664,1.8947,0.3864,144.43,202.85,3850,3854,8.257,56.28,0.23
Indonesia,IDN,2021,2.166,6.41,54.42,40.63,72.22,20508336,1.9056,0.379,146.26,205.42,4130,4287,8.363,56.88,0.23
